epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2657.58,1.19645,1.96236,1.23175,1.23678,0.74169,0.58006,0.62441,0.16186,0.74169,0.58006,0.62441,0.31295,1.84764,3.18297,2.54162,2.08954,0.0012278,0.0012278,0.0012278
41,2726.02,1.13576,1.86175,1.16792,1.21052,0.93799,0.4,0.55107,0.19169,0.93799,0.4,0.55107,0.30976,1.75782,3.09361,2.74019,2.10637,0.001208,0.001208,0.001208
42,2793.87,1.09156,1.75283,1.20623,1.16169,0.58602,0.57204,0.60595,0.22852,0.58602,0.57204,0.60595,0.3412,1.73894,2.9491,2.49876,1.83562,0.0011882,0.0011882,0.0011882
43,2874.67,1.08568,1.65912,1.12724,1.18713,0.94088,0.4,0.615,0.27679,0.94088,0.4,0.615,0.3424,1.52665,2.69485,2.26895,1.78738,0.0011684,0.0011684,0.0011684
44,2950.83,1.13361,1.72741,1.122,1.15528,0.48166,0.6,0.46809,0.182,0.48166,0.6,0.46809,0.25599,1.85644,2.77089,2.57806,2.20393,0.0011486,0.0011486,0.0011486
45,3016.61,1.18398,1.83982,1.15569,1.24829,0.32582,0.6,0.40275,0.11796,0.32582,0.6,0.40275,0.23292,1.96704,2.81083,2.77486,2.21337,0.0011288,0.0011288,0.0011288
46,3081.85,1.16239,1.77022,1.14708,1.22819,0.66162,0.39394,0.44696,0.1283,0.66162,0.39394,0.44696,0.23009,1.89395,2.80629,2.65447,2.17533,0.001109,0.001109,0.001109
47,3146.13,1.20464,1.95456,1.21485,1.24204,0.58707,0.4,0.45497,0.1647,0.58707,0.4,0.45377,0.27954,1.59917,2.38958,2.21747,2.01952,0.0010892,0.0010892,0.0010892
48,3210.51,1.09993,1.79615,1.12144,1.19364,1,0.59592,0.70828,0.45481,1,0.59592,0.70828,0.47904,1.07134,2.18319,1.95343,1.23052,0.0010694,0.0010694,0.0010694
49,3264.76,1.09388,1.85572,1.09239,1.22568,0.62813,0.6,0.66192,0.39954,0.62813,0.6,0.66192,0.3987,1.2545,2.44947,1.80033,1.37162,0.0010496,0.0010496,0.0010496
50,3319.8,1.06024,1.85309,1.05578,1.15649,0.6494,0.74821,0.71924,0.37517,0.6494,0.74821,0.71924,0.35824,1.43852,3.27851,1.63222,1.44945,0.0010298,0.0010298,0.0010298
51,3743.47,1.01522,1.77696,1.00117,1.18248,0.77856,0.71424,0.855,0.38738,0.77856,0.71424,0.855,0.36373,1.60414,3.92008,1.63639,1.62533,0.00101,0.00101,0.00101
52,3878.43,1.0554,1.73032,1.00471,1.1646,0.72965,0.55115,0.72691,0.13074,1,0.58321,0.81254,0.25367,1.97202,3.90151,2.68162,2.0632,0.0009902,0.0009902,0.0009902
53,3950.28,1.01266,1.71111,0.94393,1.10847,0.30029,0.4,0.49239,0.09564,0.96528,0.4,0.76722,0.21087,2.16057,3.77631,2.6998,2.15158,0.0009704,0.0009704,0.0009704
54,4016.14,1.03572,1.69901,0.94066,1.11719,0.89829,0.2,0.3591,0.15105,0.56975,0.8,0.73859,0.25589,2.07006,3.34935,2.75091,1.92388,0.0009506,0.0009506,0.0009506
55,4082.12,0.98193,1.73342,0.9607,1.12032,0.74536,0.58888,0.58607,0.23889,0.66259,0.78777,0.72595,0.31803,1.69048,2.846,2.77165,1.73411,0.0009308,0.0009308,0.0009308
